original_file,annotation_file,segment_file,segment_path,segment_id,start_s,end_s,duration_s,label,crackles,wheezes,sample_rate,num_samples
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0000_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0000_normal.wav,0,0.036,0.579,0.5429931972789116,normal,0,0,44100,23946
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0001_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0001_normal.wav,1,0.579,2.45,1.8709977324263039,normal,0,0,44100,82511
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0002_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0002_normal.wav,2,2.45,3.893,1.4429931972789116,normal,0,0,44100,63636
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0003_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0003_normal.wav,3,3.893,5.793,1.9,normal,0,0,44100,83790
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0004_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0004_normal.wav,4,5.793,7.521,1.7280045351473923,normal,0,0,44100,76205
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0005_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0005_normal.wav,5,7.521,9.279,1.7580045351473923,normal,0,0,44100,77528
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0006_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0006_normal.wav,6,9.279,11.15,1.8709977324263039,normal,0,0,44100,82511
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0007_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0007_normal.wav,7,11.15,13.036,1.8860090702947845,normal,0,0,44100,83173
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0008_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0008_normal.wav,8,13.036,14.721,1.6849886621315193,normal,0,0,44100,74308
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0009_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0009_normal.wav,9,14.721,16.707,1.9860090702947846,normal,0,0,44100,87583
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0010_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0010_normal.wav,10,16.707,18.507,1.8,normal,0,0,44100,79380
101_1b1_Al_sc_Meditron.wav,101_1b1_Al_sc_Meditron.txt,101_1b1_Al_sc_Meditron_seg_0011_normal.wav,segments_wav\annotation\101_1b1_Al_sc_Meditron_seg_0011_normal.wav,11,18.507,19.964,1.456984126984127,normal,0,0,44100,64253
101_1b1_Pr_sc_Meditron.wav,101_1b1_Pr_sc_Meditron.txt,101_1b1_Pr_sc_Meditron_seg_0000_normal.wav,segments_wav\annotation\101_1b1_Pr_sc_Meditron_seg_0000_normal.wav,0,0.036,1.264,1.2279818594104308,normal,0,0,44100,54154
101_1b1_Pr_sc_Meditron.wav,101_1b1_Pr_sc_Meditron.txt,101_1b1_Pr_sc_Meditron_seg_0001_normal.wav,segments_wav\annotation\101_1b1_Pr_sc_Meditron_seg_0001_normal.wav,1,1.264,3.422,2.158004535147392,normal,0,0,44100,95168
101_1b1_Pr_sc_Meditron.wav,101_1b1_Pr_sc_Meditron.txt,101_1b1_Pr_sc_Meditron_seg_0002_normal.wav,segments_wav\annotation\101_1b1_Pr_sc_Meditron_seg_0002_normal.wav,2,3.422,5.55,2.1280045351473924,normal,0,0,44100,93845
101_1b1_Pr_sc_Meditron.wav,101_1b1_Pr_sc_Meditron.txt,101_1b1_Pr_sc_Meditron_seg_0003_normal.wav,segments_wav\annotation\101_1b1_Pr_sc_Meditron_seg_0003_normal.wav,3,5.55,7.436,1.8860090702947845,normal,0,0,44100,83173
101_1b1_Pr_sc_Meditron.wav,101_1b1_Pr_sc_Meditron.txt,101_1b1_Pr_sc_Meditron_seg_0004_normal.wav,segments_wav\annotation\101_1b1_Pr_sc_Meditron_seg_0004_normal.wav,4,7.436,9.221,1.7849886621315192,normal,0,0,44100,78718
101_1b1_Pr_sc_Meditron.wav,101_1b1_Pr_sc_Meditron.txt,101_1b1_Pr_sc_Meditron_seg_0005_normal.wav,segments_wav\annotation\101_1b1_Pr_sc_Meditron_seg_0005_normal.wav,5,9.221,11.264,2.0429931972789115,normal,0,0,44100,90096
101_1b1_Pr_sc_Meditron.wav,101_1b1_Pr_sc_Meditron.txt,101_1b1_Pr_sc_Meditron_seg_0006_normal.wav,segments_wav\annotation\101_1b1_Pr_sc_Meditron_seg_0006_normal.wav,6,11.264,13.264,2.0,normal,0,0,44100,88200
101_1b1_Pr_sc_Meditron.wav,101_1b1_Pr_sc_Meditron.txt,101_1b1_Pr_sc_Meditron_seg_0007_normal.wav,segments_wav\annotation\101_1b1_Pr_sc_Meditron_seg_0007_normal.wav,7,13.264,15.179,1.9150113378684808,normal,0,0,44100,84452
101_1b1_Pr_sc_Meditron.wav,101_1b1_Pr_sc_Meditron.txt,101_1b1_Pr_sc_Meditron_seg_0008_normal.wav,segments_wav\annotation\101_1b1_Pr_sc_Meditron_seg_0008_normal.wav,8,15.179,17.207,2.0280045351473923,normal,0,0,44100,89435
101_1b1_Pr_sc_Meditron.wav,101_1b1_Pr_sc_Meditron.txt,101_1b1_Pr_sc_Meditron_seg_0009_normal.wav,segments_wav\annotation\101_1b1_Pr_sc_Meditron_seg_0009_normal.wav,9,17.207,19.179,1.9719954648526077,normal,0,0,44100,86965
101_1b1_Pr_sc_Meditron.wav,101_1b1_Pr_sc_Meditron.txt,101_1b1_Pr_sc_Meditron_seg_0010_normal.wav,segments_wav\annotation\101_1b1_Pr_sc_Meditron_seg_0010_normal.wav,10,19.179,19.936,0.7570068027210884,normal,0,0,44100,33384
