brutal_segment_id,recording,segment_in_recording,segment_filename,start_sample,end_sample_excl,start_s,end_s,duration_s,sample_rate,samples_per_segment
1,101_1b1_Al_sc_Meditron.wav,1,101_1b1_Al_sc_Meditron_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
2,101_1b1_Al_sc_Meditron.wav,2,101_1b1_Al_sc_Meditron_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
3,101_1b1_Al_sc_Meditron.wav,3,101_1b1_Al_sc_Meditron_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
4,101_1b1_Al_sc_Meditron.wav,4,101_1b1_Al_sc_Meditron_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
5,101_1b1_Al_sc_Meditron.wav,5,101_1b1_Al_sc_Meditron_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
6,101_1b1_Al_sc_Meditron.wav,6,101_1b1_Al_sc_Meditron_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
7,101_1b1_Al_sc_Meditron.wav,7,101_1b1_Al_sc_Meditron_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
8,101_1b1_Al_sc_Meditron.wav,8,101_1b1_Al_sc_Meditron_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
9,101_1b1_Pr_sc_Meditron.wav,1,101_1b1_Pr_sc_Meditron_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
10,101_1b1_Pr_sc_Meditron.wav,2,101_1b1_Pr_sc_Meditron_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
11,101_1b1_Pr_sc_Meditron.wav,3,101_1b1_Pr_sc_Meditron_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
12,101_1b1_Pr_sc_Meditron.wav,4,101_1b1_Pr_sc_Meditron_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
13,101_1b1_Pr_sc_Meditron.wav,5,101_1b1_Pr_sc_Meditron_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
14,101_1b1_Pr_sc_Meditron.wav,6,101_1b1_Pr_sc_Meditron_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
15,101_1b1_Pr_sc_Meditron.wav,7,101_1b1_Pr_sc_Meditron_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
16,101_1b1_Pr_sc_Meditron.wav,8,101_1b1_Pr_sc_Meditron_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
17,102_1b1_Ar_sc_Meditron.wav,1,102_1b1_Ar_sc_Meditron_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
18,102_1b1_Ar_sc_Meditron.wav,2,102_1b1_Ar_sc_Meditron_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
19,102_1b1_Ar_sc_Meditron.wav,3,102_1b1_Ar_sc_Meditron_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
20,102_1b1_Ar_sc_Meditron.wav,4,102_1b1_Ar_sc_Meditron_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
21,102_1b1_Ar_sc_Meditron.wav,5,102_1b1_Ar_sc_Meditron_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
22,102_1b1_Ar_sc_Meditron.wav,6,102_1b1_Ar_sc_Meditron_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
23,102_1b1_Ar_sc_Meditron.wav,7,102_1b1_Ar_sc_Meditron_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
24,102_1b1_Ar_sc_Meditron.wav,8,102_1b1_Ar_sc_Meditron_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
25,103_2b2_Ar_mc_LittC2SE.wav,1,103_2b2_Ar_mc_LittC2SE_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
26,103_2b2_Ar_mc_LittC2SE.wav,2,103_2b2_Ar_mc_LittC2SE_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
27,103_2b2_Ar_mc_LittC2SE.wav,3,103_2b2_Ar_mc_LittC2SE_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
28,103_2b2_Ar_mc_LittC2SE.wav,4,103_2b2_Ar_mc_LittC2SE_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
29,103_2b2_Ar_mc_LittC2SE.wav,5,103_2b2_Ar_mc_LittC2SE_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
30,103_2b2_Ar_mc_LittC2SE.wav,6,103_2b2_Ar_mc_LittC2SE_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
31,103_2b2_Ar_mc_LittC2SE.wav,7,103_2b2_Ar_mc_LittC2SE_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
32,103_2b2_Ar_mc_LittC2SE.wav,8,103_2b2_Ar_mc_LittC2SE_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
33,104_1b1_Al_sc_Litt3200.wav,1,104_1b1_Al_sc_Litt3200_seg_1.wav,0,10000,0.0,2.5,2.5,4000,10000
34,104_1b1_Al_sc_Litt3200.wav,2,104_1b1_Al_sc_Litt3200_seg_2.wav,10000,20000,2.5,5.0,2.5,4000,10000
35,104_1b1_Al_sc_Litt3200.wav,3,104_1b1_Al_sc_Litt3200_seg_3.wav,20000,30000,5.0,7.5,2.5,4000,10000
36,104_1b1_Al_sc_Litt3200.wav,4,104_1b1_Al_sc_Litt3200_seg_4.wav,30000,40000,7.5,10.0,2.5,4000,10000
37,104_1b1_Al_sc_Litt3200.wav,5,104_1b1_Al_sc_Litt3200_seg_5.wav,40000,50000,10.0,12.5,2.5,4000,10000
38,104_1b1_Al_sc_Litt3200.wav,6,104_1b1_Al_sc_Litt3200_seg_6.wav,50000,60000,12.5,15.0,2.5,4000,10000
39,104_1b1_Ar_sc_Litt3200.wav,1,104_1b1_Ar_sc_Litt3200_seg_1.wav,0,10000,0.0,2.5,2.5,4000,10000
40,104_1b1_Ar_sc_Litt3200.wav,2,104_1b1_Ar_sc_Litt3200_seg_2.wav,10000,20000,2.5,5.0,2.5,4000,10000
41,104_1b1_Ar_sc_Litt3200.wav,3,104_1b1_Ar_sc_Litt3200_seg_3.wav,20000,30000,5.0,7.5,2.5,4000,10000
42,104_1b1_Ar_sc_Litt3200.wav,4,104_1b1_Ar_sc_Litt3200_seg_4.wav,30000,40000,7.5,10.0,2.5,4000,10000
43,104_1b1_Ar_sc_Litt3200.wav,5,104_1b1_Ar_sc_Litt3200_seg_5.wav,40000,50000,10.0,12.5,2.5,4000,10000
44,104_1b1_Ar_sc_Litt3200.wav,6,104_1b1_Ar_sc_Litt3200_seg_6.wav,50000,60000,12.5,15.0,2.5,4000,10000
45,104_1b1_Ar_sc_Litt3200.wav,7,104_1b1_Ar_sc_Litt3200_seg_7.wav,60000,70000,15.0,17.5,2.5,4000,10000
46,104_1b1_Ar_sc_Litt3200.wav,8,104_1b1_Ar_sc_Litt3200_seg_8.wav,70000,80000,17.5,20.0,2.5,4000,10000
47,104_1b1_Ar_sc_Litt3200.wav,9,104_1b1_Ar_sc_Litt3200_seg_9.wav,80000,90000,20.0,22.5,2.5,4000,10000
48,104_1b1_Ar_sc_Litt3200.wav,10,104_1b1_Ar_sc_Litt3200_seg_10.wav,90000,100000,22.5,25.0,2.5,4000,10000
49,104_1b1_Ll_sc_Litt3200.wav,1,104_1b1_Ll_sc_Litt3200_seg_1.wav,0,10000,0.0,2.5,2.5,4000,10000
50,104_1b1_Ll_sc_Litt3200.wav,2,104_1b1_Ll_sc_Litt3200_seg_2.wav,10000,20000,2.5,5.0,2.5,4000,10000
51,104_1b1_Ll_sc_Litt3200.wav,3,104_1b1_Ll_sc_Litt3200_seg_3.wav,20000,30000,5.0,7.5,2.5,4000,10000
52,104_1b1_Ll_sc_Litt3200.wav,4,104_1b1_Ll_sc_Litt3200_seg_4.wav,30000,40000,7.5,10.0,2.5,4000,10000
53,104_1b1_Ll_sc_Litt3200.wav,5,104_1b1_Ll_sc_Litt3200_seg_5.wav,40000,50000,10.0,12.5,2.5,4000,10000
54,104_1b1_Ll_sc_Litt3200.wav,6,104_1b1_Ll_sc_Litt3200_seg_6.wav,50000,60000,12.5,15.0,2.5,4000,10000
55,104_1b1_Ll_sc_Litt3200.wav,7,104_1b1_Ll_sc_Litt3200_seg_7.wav,60000,70000,15.0,17.5,2.5,4000,10000
56,104_1b1_Lr_sc_Litt3200.wav,1,104_1b1_Lr_sc_Litt3200_seg_1.wav,0,10000,0.0,2.5,2.5,4000,10000
57,104_1b1_Lr_sc_Litt3200.wav,2,104_1b1_Lr_sc_Litt3200_seg_2.wav,10000,20000,2.5,5.0,2.5,4000,10000
58,104_1b1_Lr_sc_Litt3200.wav,3,104_1b1_Lr_sc_Litt3200_seg_3.wav,20000,30000,5.0,7.5,2.5,4000,10000
59,104_1b1_Lr_sc_Litt3200.wav,4,104_1b1_Lr_sc_Litt3200_seg_4.wav,30000,40000,7.5,10.0,2.5,4000,10000
60,104_1b1_Lr_sc_Litt3200.wav,5,104_1b1_Lr_sc_Litt3200_seg_5.wav,40000,50000,10.0,12.5,2.5,4000,10000
61,104_1b1_Lr_sc_Litt3200.wav,6,104_1b1_Lr_sc_Litt3200_seg_6.wav,50000,60000,12.5,15.0,2.5,4000,10000
62,104_1b1_Pl_sc_Litt3200.wav,1,104_1b1_Pl_sc_Litt3200_seg_1.wav,0,10000,0.0,2.5,2.5,4000,10000
63,104_1b1_Pl_sc_Litt3200.wav,2,104_1b1_Pl_sc_Litt3200_seg_2.wav,10000,20000,2.5,5.0,2.5,4000,10000
64,104_1b1_Pl_sc_Litt3200.wav,3,104_1b1_Pl_sc_Litt3200_seg_3.wav,20000,30000,5.0,7.5,2.5,4000,10000
65,104_1b1_Pl_sc_Litt3200.wav,4,104_1b1_Pl_sc_Litt3200_seg_4.wav,30000,40000,7.5,10.0,2.5,4000,10000
66,104_1b1_Pl_sc_Litt3200.wav,5,104_1b1_Pl_sc_Litt3200_seg_5.wav,40000,50000,10.0,12.5,2.5,4000,10000
67,104_1b1_Pl_sc_Litt3200.wav,6,104_1b1_Pl_sc_Litt3200_seg_6.wav,50000,60000,12.5,15.0,2.5,4000,10000
68,104_1b1_Pl_sc_Litt3200.wav,7,104_1b1_Pl_sc_Litt3200_seg_7.wav,60000,70000,15.0,17.5,2.5,4000,10000
69,104_1b1_Pl_sc_Litt3200.wav,8,104_1b1_Pl_sc_Litt3200_seg_8.wav,70000,80000,17.5,20.0,2.5,4000,10000
70,104_1b1_Pl_sc_Litt3200.wav,9,104_1b1_Pl_sc_Litt3200_seg_9.wav,80000,90000,20.0,22.5,2.5,4000,10000
71,104_1b1_Pr_sc_Litt3200.wav,1,104_1b1_Pr_sc_Litt3200_seg_1.wav,0,10000,0.0,2.5,2.5,4000,10000
72,104_1b1_Pr_sc_Litt3200.wav,2,104_1b1_Pr_sc_Litt3200_seg_2.wav,10000,20000,2.5,5.0,2.5,4000,10000
73,104_1b1_Pr_sc_Litt3200.wav,3,104_1b1_Pr_sc_Litt3200_seg_3.wav,20000,30000,5.0,7.5,2.5,4000,10000
74,104_1b1_Pr_sc_Litt3200.wav,4,104_1b1_Pr_sc_Litt3200_seg_4.wav,30000,40000,7.5,10.0,2.5,4000,10000
75,104_1b1_Pr_sc_Litt3200.wav,5,104_1b1_Pr_sc_Litt3200_seg_5.wav,40000,50000,10.0,12.5,2.5,4000,10000
76,104_1b1_Pr_sc_Litt3200.wav,6,104_1b1_Pr_sc_Litt3200_seg_6.wav,50000,60000,12.5,15.0,2.5,4000,10000
77,104_1b1_Pr_sc_Litt3200.wav,7,104_1b1_Pr_sc_Litt3200_seg_7.wav,60000,70000,15.0,17.5,2.5,4000,10000
78,104_1b1_Pr_sc_Litt3200.wav,8,104_1b1_Pr_sc_Litt3200_seg_8.wav,70000,80000,17.5,20.0,2.5,4000,10000
79,104_1b1_Pr_sc_Litt3200.wav,9,104_1b1_Pr_sc_Litt3200_seg_9.wav,80000,90000,20.0,22.5,2.5,4000,10000
80,105_1b1_Tc_sc_Meditron.wav,1,105_1b1_Tc_sc_Meditron_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
81,105_1b1_Tc_sc_Meditron.wav,2,105_1b1_Tc_sc_Meditron_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
82,105_1b1_Tc_sc_Meditron.wav,3,105_1b1_Tc_sc_Meditron_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
83,105_1b1_Tc_sc_Meditron.wav,4,105_1b1_Tc_sc_Meditron_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
84,105_1b1_Tc_sc_Meditron.wav,5,105_1b1_Tc_sc_Meditron_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
85,105_1b1_Tc_sc_Meditron.wav,6,105_1b1_Tc_sc_Meditron_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
86,105_1b1_Tc_sc_Meditron.wav,7,105_1b1_Tc_sc_Meditron_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
87,105_1b1_Tc_sc_Meditron.wav,8,105_1b1_Tc_sc_Meditron_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
88,106_2b1_Pl_mc_LittC2SE.wav,1,106_2b1_Pl_mc_LittC2SE_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
89,106_2b1_Pl_mc_LittC2SE.wav,2,106_2b1_Pl_mc_LittC2SE_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
90,106_2b1_Pl_mc_LittC2SE.wav,3,106_2b1_Pl_mc_LittC2SE_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
91,106_2b1_Pl_mc_LittC2SE.wav,4,106_2b1_Pl_mc_LittC2SE_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
92,106_2b1_Pl_mc_LittC2SE.wav,5,106_2b1_Pl_mc_LittC2SE_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
93,106_2b1_Pl_mc_LittC2SE.wav,6,106_2b1_Pl_mc_LittC2SE_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
94,106_2b1_Pl_mc_LittC2SE.wav,7,106_2b1_Pl_mc_LittC2SE_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
95,106_2b1_Pl_mc_LittC2SE.wav,8,106_2b1_Pl_mc_LittC2SE_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
96,106_2b1_Pr_mc_LittC2SE.wav,1,106_2b1_Pr_mc_LittC2SE_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
97,106_2b1_Pr_mc_LittC2SE.wav,2,106_2b1_Pr_mc_LittC2SE_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
98,106_2b1_Pr_mc_LittC2SE.wav,3,106_2b1_Pr_mc_LittC2SE_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
99,106_2b1_Pr_mc_LittC2SE.wav,4,106_2b1_Pr_mc_LittC2SE_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
100,106_2b1_Pr_mc_LittC2SE.wav,5,106_2b1_Pr_mc_LittC2SE_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
101,106_2b1_Pr_mc_LittC2SE.wav,6,106_2b1_Pr_mc_LittC2SE_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
102,106_2b1_Pr_mc_LittC2SE.wav,7,106_2b1_Pr_mc_LittC2SE_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
103,106_2b1_Pr_mc_LittC2SE.wav,8,106_2b1_Pr_mc_LittC2SE_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
104,107_2b3_Al_mc_AKGC417L.wav,1,107_2b3_Al_mc_AKGC417L_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
105,107_2b3_Al_mc_AKGC417L.wav,2,107_2b3_Al_mc_AKGC417L_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
106,107_2b3_Al_mc_AKGC417L.wav,3,107_2b3_Al_mc_AKGC417L_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
107,107_2b3_Al_mc_AKGC417L.wav,4,107_2b3_Al_mc_AKGC417L_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
108,107_2b3_Al_mc_AKGC417L.wav,5,107_2b3_Al_mc_AKGC417L_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
109,107_2b3_Al_mc_AKGC417L.wav,6,107_2b3_Al_mc_AKGC417L_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
110,107_2b3_Al_mc_AKGC417L.wav,7,107_2b3_Al_mc_AKGC417L_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
111,107_2b3_Al_mc_AKGC417L.wav,8,107_2b3_Al_mc_AKGC417L_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
112,107_2b3_Ar_mc_AKGC417L.wav,1,107_2b3_Ar_mc_AKGC417L_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
113,107_2b3_Ar_mc_AKGC417L.wav,2,107_2b3_Ar_mc_AKGC417L_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
114,107_2b3_Ar_mc_AKGC417L.wav,3,107_2b3_Ar_mc_AKGC417L_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
115,107_2b3_Ar_mc_AKGC417L.wav,4,107_2b3_Ar_mc_AKGC417L_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
116,107_2b3_Ar_mc_AKGC417L.wav,5,107_2b3_Ar_mc_AKGC417L_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
117,107_2b3_Ar_mc_AKGC417L.wav,6,107_2b3_Ar_mc_AKGC417L_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
118,107_2b3_Ar_mc_AKGC417L.wav,7,107_2b3_Ar_mc_AKGC417L_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
119,107_2b3_Ar_mc_AKGC417L.wav,8,107_2b3_Ar_mc_AKGC417L_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
120,107_2b3_Ll_mc_AKGC417L.wav,1,107_2b3_Ll_mc_AKGC417L_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
121,107_2b3_Ll_mc_AKGC417L.wav,2,107_2b3_Ll_mc_AKGC417L_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
122,107_2b3_Ll_mc_AKGC417L.wav,3,107_2b3_Ll_mc_AKGC417L_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
123,107_2b3_Ll_mc_AKGC417L.wav,4,107_2b3_Ll_mc_AKGC417L_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
124,107_2b3_Ll_mc_AKGC417L.wav,5,107_2b3_Ll_mc_AKGC417L_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
125,107_2b3_Ll_mc_AKGC417L.wav,6,107_2b3_Ll_mc_AKGC417L_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
126,107_2b3_Ll_mc_AKGC417L.wav,7,107_2b3_Ll_mc_AKGC417L_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
127,107_2b3_Ll_mc_AKGC417L.wav,8,107_2b3_Ll_mc_AKGC417L_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
128,107_2b3_Lr_mc_AKGC417L.wav,1,107_2b3_Lr_mc_AKGC417L_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
129,107_2b3_Lr_mc_AKGC417L.wav,2,107_2b3_Lr_mc_AKGC417L_seg_2.wav,110250,220500,2.5,5.0,2.5,44100,110250
130,107_2b3_Lr_mc_AKGC417L.wav,3,107_2b3_Lr_mc_AKGC417L_seg_3.wav,220500,330750,5.0,7.5,2.5,44100,110250
131,107_2b3_Lr_mc_AKGC417L.wav,4,107_2b3_Lr_mc_AKGC417L_seg_4.wav,330750,441000,7.5,10.0,2.5,44100,110250
132,107_2b3_Lr_mc_AKGC417L.wav,5,107_2b3_Lr_mc_AKGC417L_seg_5.wav,441000,551250,10.0,12.5,2.5,44100,110250
133,107_2b3_Lr_mc_AKGC417L.wav,6,107_2b3_Lr_mc_AKGC417L_seg_6.wav,551250,661500,12.5,15.0,2.5,44100,110250
134,107_2b3_Lr_mc_AKGC417L.wav,7,107_2b3_Lr_mc_AKGC417L_seg_7.wav,661500,771750,15.0,17.5,2.5,44100,110250
135,107_2b3_Lr_mc_AKGC417L.wav,8,107_2b3_Lr_mc_AKGC417L_seg_8.wav,771750,882000,17.5,20.0,2.5,44100,110250
136,107_2b3_Pl_mc_AKGC417L.wav,1,107_2b3_Pl_mc_AKGC417L_seg_1.wav,0,110250,0.0,2.5,2.5,44100,110250
