cycle_id,recording,cycle_in_recording,cycle_filename,peak_frame,peak_time_s,start_sample,end_sample_excl,start_s,end_s,duration_s,sample_rate,frame_ms,hop_ms,centroid_threshold,peak_centroid_value
1,101_1b1_Al_sc_Meditron.wav,1,101_1b1_Al_sc_Meditron_cycle_1.wav,196,1.96,51156,161406,1.16,3.66,2.5,44100,25.0,10.0,338.14,1279.76
2,101_1b1_Al_sc_Meditron.wav,2,101_1b1_Al_sc_Meditron_cycle_2.wav,362,3.62,124362,234612,2.82,5.32,2.5,44100,25.0,10.0,338.14,1363.76
3,101_1b1_Al_sc_Meditron.wav,3,101_1b1_Al_sc_Meditron_cycle_3.wav,506,5.06,187866,298116,4.26,6.76,2.5,44100,25.0,10.0,338.14,1611.14
4,101_1b1_Al_sc_Meditron.wav,4,101_1b1_Al_sc_Meditron_cycle_4.wav,645,6.45,249165,359415,5.65,8.15,2.5,44100,25.0,10.0,338.14,550.42
5,101_1b1_Al_sc_Meditron.wav,5,101_1b1_Al_sc_Meditron_cycle_5.wav,745,7.45,293265,403515,6.65,9.15,2.5,44100,25.0,10.0,338.14,1536.72
6,101_1b1_Al_sc_Meditron.wav,6,101_1b1_Al_sc_Meditron_cycle_6.wav,861,8.61,344421,454671,7.81,10.31,2.5,44100,25.0,10.0,338.14,1273.59
7,101_1b1_Al_sc_Meditron.wav,7,101_1b1_Al_sc_Meditron_cycle_7.wav,985,9.85,399105,509355,9.05,11.55,2.5,44100,25.0,10.0,338.14,1309.32
8,101_1b1_Al_sc_Meditron.wav,8,101_1b1_Al_sc_Meditron_cycle_8.wav,1138,11.38,466578,576828,10.58,13.08,2.5,44100,25.0,10.0,338.14,1152.29
9,101_1b1_Al_sc_Meditron.wav,9,101_1b1_Al_sc_Meditron_cycle_9.wav,1283,12.83,530523,640773,12.03,14.53,2.5,44100,25.0,10.0,338.14,2253.15
10,101_1b1_Al_sc_Meditron.wav,10,101_1b1_Al_sc_Meditron_cycle_10.wav,1441,14.41,600201,710451,13.61,16.11,2.5,44100,25.0,10.0,338.14,1020.72
11,101_1b1_Al_sc_Meditron.wav,11,101_1b1_Al_sc_Meditron_cycle_11.wav,1606,16.06,672966,783216,15.26,17.76,2.5,44100,25.0,10.0,338.14,1004.64
12,101_1b1_Al_sc_Meditron.wav,12,101_1b1_Al_sc_Meditron_cycle_12.wav,1772,17.72,746172,856422,16.92,19.42,2.5,44100,25.0,10.0,338.14,999.75
13,101_1b1_Pr_sc_Meditron.wav,1,101_1b1_Pr_sc_Meditron_cycle_1.wav,253,2.53,76293,186543,1.73,4.23,2.5,44100,25.0,10.0,470.6,1395.15
14,101_1b1_Pr_sc_Meditron.wav,2,101_1b1_Pr_sc_Meditron_cycle_2.wav,391,3.91,137151,247401,3.11,5.61,2.5,44100,25.0,10.0,470.6,1230.64
