cycle_id,recording,cycle_in_recording,cycle_filename,peak_frame,peak_time_s,start_sample,end_sample_excl,start_s,end_s,duration_s,sample_rate,frame_ms,hop_ms,slope_threshold,peak_slope_value
1,101_1b1_Al_sc_Meditron.wav,1,101_1b1_Al_sc_Meditron_slope_cycle_1.wav,195,1.95,50715,160965,1.15,3.65,2.5,44100,25.0,10.0,83.35,549.12
2,101_1b1_Al_sc_Meditron.wav,2,101_1b1_Al_sc_Meditron_slope_cycle_2.wav,295,2.95,94815,205065,2.15,4.65,2.5,44100,25.0,10.0,83.35,188.51
3,101_1b1_Al_sc_Meditron.wav,3,101_1b1_Al_sc_Meditron_slope_cycle_3.wav,398,3.98,140238,250488,3.18,5.68,2.5,44100,25.0,10.0,83.35,757.13
4,101_1b1_Al_sc_Meditron.wav,4,101_1b1_Al_sc_Meditron_slope_cycle_4.wav,505,5.05,187425,297675,4.25,6.75,2.5,44100,25.0,10.0,83.35,1126.49
5,101_1b1_Al_sc_Meditron.wav,5,101_1b1_Al_sc_Meditron_slope_cycle_5.wav,619,6.19,237699,347949,5.39,7.89,2.5,44100,25.0,10.0,83.35,344.75
6,101_1b1_Al_sc_Meditron.wav,6,101_1b1_Al_sc_Meditron_slope_cycle_6.wav,744,7.44,292824,403074,6.64,9.14,2.5,44100,25.0,10.0,83.35,1311.22
7,101_1b1_Al_sc_Meditron.wav,7,101_1b1_Al_sc_Meditron_slope_cycle_7.wav,860,8.6,343980,454230,7.8,10.3,2.5,44100,25.0,10.0,83.35,984.84
8,101_1b1_Al_sc_Meditron.wav,8,101_1b1_Al_sc_Meditron_slope_cycle_8.wav,984,9.84,398664,508914,9.04,11.54,2.5,44100,25.0,10.0,83.35,1106.49
9,101_1b1_Al_sc_Meditron.wav,9,101_1b1_Al_sc_Meditron_slope_cycle_9.wav,1137,11.37,466137,576387,10.57,13.07,2.5,44100,25.0,10.0,83.35,579.42
10,101_1b1_Al_sc_Meditron.wav,10,101_1b1_Al_sc_Meditron_slope_cycle_10.wav,1282,12.82,530082,640332,12.02,14.52,2.5,44100,25.0,10.0,83.35,1011.93
11,101_1b1_Al_sc_Meditron.wav,11,101_1b1_Al_sc_Meditron_slope_cycle_11.wav,1391,13.91,578151,688401,13.11,15.61,2.5,44100,25.0,10.0,83.35,247.69
12,101_1b1_Al_sc_Meditron.wav,12,101_1b1_Al_sc_Meditron_slope_cycle_12.wav,1502,15.02,627102,737352,14.22,16.72,2.5,44100,25.0,10.0,83.35,606.44
13,101_1b1_Al_sc_Meditron.wav,13,101_1b1_Al_sc_Meditron_slope_cycle_13.wav,1605,16.05,672525,782775,15.25,17.75,2.5,44100,25.0,10.0,83.35,512.15
14,101_1b1_Al_sc_Meditron.wav,14,101_1b1_Al_sc_Meditron_slope_cycle_14.wav,1761,17.61,741321,851571,16.81,19.31,2.5,44100,25.0,10.0,83.35,565.72
15,101_1b1_Pr_sc_Meditron.wav,1,101_1b1_Pr_sc_Meditron_slope_cycle_1.wav,252,2.52,75852,186102,1.72,4.22,2.5,44100,25.0,10.0,125.08,1090.95
16,101_1b1_Pr_sc_Meditron.wav,2,101_1b1_Pr_sc_Meditron_slope_cycle_2.wav,398,3.98,140238,250488,3.18,5.68,2.5,44100,25.0,10.0,125.08,815.36
17,101_1b1_Pr_sc_Meditron.wav,3,101_1b1_Pr_sc_Meditron_slope_cycle_3.wav,528,5.28,197568,307818,4.48,6.98,2.5,44100,25.0,10.0,125.08,1320.87
18,101_1b1_Pr_sc_Meditron.wav,4,101_1b1_Pr_sc_Meditron_slope_cycle_4.wav,662,6.62,256662,366912,5.82,8.32,2.5,44100,25.0,10.0,125.08,615.19
19,101_1b1_Pr_sc_Meditron.wav,5,101_1b1_Pr_sc_Meditron_slope_cycle_5.wav,776,7.76,306936,417186,6.96,9.46,2.5,44100,25.0,10.0,125.08,1120.59
20,101_1b1_Pr_sc_Meditron.wav,6,101_1b1_Pr_sc_Meditron_slope_cycle_6.wav,896,8.96,359856,470106,8.16,10.66,2.5,44100,25.0,10.0,125.08,1144.53
21,101_1b1_Pr_sc_Meditron.wav,7,101_1b1_Pr_sc_Meditron_slope_cycle_7.wav,1086,10.86,443646,553896,10.06,12.56,2.5,44100,25.0,10.0,125.08,1172.72
22,101_1b1_Pr_sc_Meditron.wav,8,101_1b1_Pr_sc_Meditron_slope_cycle_8.wav,1211,12.11,498771,609021,11.31,13.81,2.5,44100,25.0,10.0,125.08,827.02
23,101_1b1_Pr_sc_Meditron.wav,9,101_1b1_Pr_sc_Meditron_slope_cycle_9.wav,1410,14.1,586530,696780,13.3,15.8,2.5,44100,25.0,10.0,125.08,1274.07
24,101_1b1_Pr_sc_Meditron.wav,10,101_1b1_Pr_sc_Meditron_slope_cycle_10.wav,1525,15.25,637245,747495,14.45,16.95,2.5,44100,25.0,10.0,125.08,896.99
25,101_1b1_Pr_sc_Meditron.wav,11,101_1b1_Pr_sc_Meditron_slope_cycle_11.wav,1641,16.41,688401,798651,15.61,18.11,2.5,44100,25.0,10.0,125.08,1208.7
26,101_1b1_Pr_sc_Meditron.wav,12,101_1b1_Pr_sc_Meditron_slope_cycle_12.wav,1751,17.51,736911,847161,16.71,19.21,2.5,44100,25.0,10.0,125.08,874.98
27,102_1b1_Ar_sc_Meditron.wav,1,102_1b1_Ar_sc_Meditron_slope_cycle_1.wav,157,1.57,33957,144207,0.77,3.27,2.5,44100,25.0,10.0,132.24,1329.14
28,102_1b1_Ar_sc_Meditron.wav,2,102_1b1_Ar_sc_Meditron_slope_cycle_2.wav,361,3.61,123921,234171,2.81,5.31,2.5,44100,25.0,10.0,132.24,938.12
29,102_1b1_Ar_sc_Meditron.wav,3,102_1b1_Ar_sc_Meditron_slope_cycle_3.wav,462,4.62,168462,278712,3.82,6.32,2.5,44100,25.0,10.0,132.24,1424.21
30,102_1b1_Ar_sc_Meditron.wav,4,102_1b1_Ar_sc_Meditron_slope_cycle_4.wav,574,5.74,217854,328104,4.94,7.44,2.5,44100,25.0,10.0,132.24,1815.72
31,102_1b1_Ar_sc_Meditron.wav,5,102_1b1_Ar_sc_Meditron_slope_cycle_5.wav,718,7.18,281358,391608,6.38,8.88,2.5,44100,25.0,10.0,132.24,1178.95
32,102_1b1_Ar_sc_Meditron.wav,6,102_1b1_Ar_sc_Meditron_slope_cycle_6.wav,887,8.87,355887,466137,8.07,10.57,2.5,44100,25.0,10.0,132.24,719.35
33,102_1b1_Ar_sc_Meditron.wav,7,102_1b1_Ar_sc_Meditron_slope_cycle_7.wav,1041,10.41,423801,534051,9.61,12.11,2.5,44100,25.0,10.0,132.24,1326.95
34,102_1b1_Ar_sc_Meditron.wav,8,102_1b1_Ar_sc_Meditron_slope_cycle_8.wav,1176,11.76,483336,593586,10.96,13.46,2.5,44100,25.0,10.0,132.24,1519.38
35,102_1b1_Ar_sc_Meditron.wav,9,102_1b1_Ar_sc_Meditron_slope_cycle_9.wav,1281,12.81,529641,639891,12.01,14.51,2.5,44100,25.0,10.0,132.24,1809.32
36,102_1b1_Ar_sc_Meditron.wav,10,102_1b1_Ar_sc_Meditron_slope_cycle_10.wav,1412,14.12,587412,697662,13.32,15.82,2.5,44100,25.0,10.0,132.24,1165.45
37,102_1b1_Ar_sc_Meditron.wav,11,102_1b1_Ar_sc_Meditron_slope_cycle_11.wav,1530,15.3,639450,749700,14.5,17.0,2.5,44100,25.0,10.0,132.24,695.71
38,102_1b1_Ar_sc_Meditron.wav,12,102_1b1_Ar_sc_Meditron_slope_cycle_12.wav,1632,16.32,684432,794682,15.52,18.02,2.5,44100,25.0,10.0,132.24,1459.12
39,102_1b1_Ar_sc_Meditron.wav,13,102_1b1_Ar_sc_Meditron_slope_cycle_13.wav,1743,17.43,733383,843633,16.63,19.13,2.5,44100,25.0,10.0,132.24,1033.87
40,103_2b2_Ar_mc_LittC2SE.wav,1,103_2b2_Ar_mc_LittC2SE_slope_cycle_1.wav,100,1.0,8820,119070,0.2,2.7,2.5,44100,25.0,10.0,80.07,814.65
41,103_2b2_Ar_mc_LittC2SE.wav,2,103_2b2_Ar_mc_LittC2SE_slope_cycle_2.wav,210,2.1,57330,167580,1.3,3.8,2.5,44100,25.0,10.0,80.07,464.44
42,103_2b2_Ar_mc_LittC2SE.wav,3,103_2b2_Ar_mc_LittC2SE_slope_cycle_3.wav,311,3.11,101871,212121,2.31,4.81,2.5,44100,25.0,10.0,80.07,664.62
43,103_2b2_Ar_mc_LittC2SE.wav,4,103_2b2_Ar_mc_LittC2SE_slope_cycle_4.wav,430,4.3,154350,264600,3.5,6.0,2.5,44100,25.0,10.0,80.07,611.35
44,103_2b2_Ar_mc_LittC2SE.wav,5,103_2b2_Ar_mc_LittC2SE_slope_cycle_5.wav,571,5.71,216531,326781,4.91,7.41,2.5,44100,25.0,10.0,80.07,1697.04
45,103_2b2_Ar_mc_LittC2SE.wav,6,103_2b2_Ar_mc_LittC2SE_slope_cycle_6.wav,684,6.84,266364,376614,6.04,8.54,2.5,44100,25.0,10.0,80.07,905.44
46,103_2b2_Ar_mc_LittC2SE.wav,7,103_2b2_Ar_mc_LittC2SE_slope_cycle_7.wav,828,8.28,329868,440118,7.48,9.98,2.5,44100,25.0,10.0,80.07,1235.58
47,103_2b2_Ar_mc_LittC2SE.wav,8,103_2b2_Ar_mc_LittC2SE_slope_cycle_8.wav,948,9.48,382788,493038,8.68,11.18,2.5,44100,25.0,10.0,80.07,1293.06
48,103_2b2_Ar_mc_LittC2SE.wav,9,103_2b2_Ar_mc_LittC2SE_slope_cycle_9.wav,1057,10.57,430857,541107,9.77,12.27,2.5,44100,25.0,10.0,80.07,649.45
49,103_2b2_Ar_mc_LittC2SE.wav,10,103_2b2_Ar_mc_LittC2SE_slope_cycle_10.wav,1164,11.64,478044,588294,10.84,13.34,2.5,44100,25.0,10.0,80.07,388.99
50,103_2b2_Ar_mc_LittC2SE.wav,11,103_2b2_Ar_mc_LittC2SE_slope_cycle_11.wav,1283,12.83,530523,640773,12.03,14.53,2.5,44100,25.0,10.0,80.07,406.48
51,103_2b2_Ar_mc_LittC2SE.wav,12,103_2b2_Ar_mc_LittC2SE_slope_cycle_12.wav,1392,13.92,578592,688842,13.12,15.62,2.5,44100,25.0,10.0,80.07,1162.58
52,103_2b2_Ar_mc_LittC2SE.wav,13,103_2b2_Ar_mc_LittC2SE_slope_cycle_13.wav,1573,15.73,658413,768663,14.93,17.43,2.5,44100,25.0,10.0,80.07,1541.82
